,name,address,symbol,gecko_id,url,mcap,tvl,chainTvls.Ethereum,chain,category,relative_share_of_tvl_on_eth
2,MakerDAO,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,MKR,maker,https://makerdao.com/,581795877.0,6237835762.827565,6237835762.827565,Ethereum,CDP,1.0
4,Lido,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO,lido-dao,https://lido.fi/,869179949.0,6019832312.024423,5972017431.464174,Multi-Chain,Liquid Staking,0.9920571075601659
6,Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,curve-dao-token,https://curve.fi,435520308.0,3663169465.212459,3376190238.7842875,Multi-Chain,Dexes,0.9216582172477987
11,AAVE V2,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,aave,"https://aave.com
",832460813.0,3226061662.9956465,2984129017.107151,Multi-Chain,Lending,0.925006812900209
12,Convex Finance,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CVX,convex-finance,https://www.convexfinance.com/,306853926.0,3081413376.4540377,3061485592.097828,Multi-Chain,Yield,0.993532907818054
14,Uniswap V3,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,,https://uniswap.org/,,2563090537.2552037,2338954702.2978044,Multi-Chain,Dexes,0.9125525096755166
19,Instadapp,0x6f40d4A6237C257fff2dB00FA0510DeEECd303eb,INST,instadapp,https://instadapp.io/,10637296.0,1625486689.44923,1625486689.44923,Ethereum,Services,1.0
20,Balancer,0xba100000625a3754423978a60c9317c58a424e3D,BAL,balancer,https://balancer.finance/,227330459.0,1531036151.619314,1408021586.754217,Multi-Chain,Dexes,0.9196527366548533
21,Compound,0xc00e94Cb662C3520282E6f5717214004A7f26888,COMP,,https://compound.finance,,1455488481.673563,1455488481.673563,Ethereum,Lending,1.0
26,Frax,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,FXS,,https://frax.finance/,,1082832866.641519,1082787137.7303386,Multi-Chain,Algo-Stables,0.9999577691880351
31,Rocket Pool,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,RPL,rocket-pool,https://rocketpool.net,314479615.0,561632881.2294037,561632881.2294037,Ethereum,Liquid Staking,1.0
36,dYdX,0x92D6C1e31e14520e676a687F0a93788B716BEff5,DYDX,dydx,https://dydx.exchange/,249332497.0,443143251.7064446,443143251.7064446,Ethereum,Derivatives,1.0
37,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,liquity,https://www.liquity.org/,52956350.0,430899519.9809396,430899519.9809396,Ethereum,CDP,1.0
41,Yearn Finance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,yearn-finance,https://yearn.finance/,191326907.0,381373975.349141,363749985.586639,Multi-Chain,Yield Aggregator,0.9537881688272841
42,Aura,0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF,AURA,aura-finance,https://aura.finance,32528774.0,377919730.73580855,377919730.73580855,Ethereum,Yield,1.0
43,SushiSwap,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,SUSHI,sushi,https://sushi.com/,223841953.0,365577268.2143321,308550798.484124,Multi-Chain,Dexes,0.8440098039772692
53,Olympus DAO,0x383518188C0C6d7730D91b2c03a03C837814a899,OHM,olympus,https://olympusdao.finance/,244474788.0,207293806.471236,207293806.471236,Ethereum,Reserve Currency,1.0
63,Nexus Mutual,0xd7c49CEE7E9188cCa6AD8FF264C1DA2e69D4Cf3B,NXM,nxm,https://nexusmutual.io/,261545884.0,170280949.29626757,170280949.29626757,Ethereum,Insurance,1.0
103,Loopring,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,LRC,loopring,https://loopring.org/#/,301435082.0,85087909.04961064,85087909.04961064,Ethereum,Dexes,1.0
109,Flexa,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,AMP,amp-token,https://amptoken.org/,264535872.0,74653608.99729624,74653608.99729624,Ethereum,Payments,1.0
435,1inch Network,0x111111111117dC0aa78b770fA6A738034120C302,1INCH,1inch,https://1inch.io,320219813.0,5615016.84770042,4436206.184317486,Multi-Chain,Dexes,0.7900610638656045
4,Ethereum Name Service,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,ENS,ethereum-name-service,"['https://ens.domains/', 'https://app.ens.domains/', '']",442812698.0,0.0,0.0,Ethereum,Governance,
10,0x,0xE41d2489571d322189246DaFA5ebDe1F4699F498,ZRX,0x,"['https://0x.org/', '', '']",229213984.0,0.0,0.0,Ethereum,Governance,
